puzzle_index,initial_state,solved,nodes_generated,nodes_expanded,execution_time,solution_cost,max_depth,max_memory
1,421786053,True,390,138,0.0,30,30,246
2,173602584,True,548,187,0.0060350894927978516,22,22,347
3,254701683,True,444,139,0.0,22,22,256
4,430786215,True,626,216,0.016456127166748047,24,24,385
5,061854237,True,907,322,0.015114545822143555,20,25,577
6,643801275,True,391,122,0.0,26,26,236
7,346257081,True,1875,634,0.031728267669677734,28,29,1177
8,687304152,True,706,244,0.0,30,35,446
9,046187325,True,2574,856,0.047432899475097656,28,33,1559
10,253641870,True,667,237,0.0,24,24,423
