puzzle_index,initial_state,solved,nodes_generated,nodes_expanded,execution_time,solution_cost,max_depth,max_memory
1,421786053,True,376,137,0.0030248165130615234,18,18,225
2,173602584,True,395,142,0.004565715789794922,16,16,248
3,254701683,True,1560,577,0.023936748504638672,22,22,922
4,430786215,True,1338,483,0.02016162872314453,22,22,795
5,061854237,True,163,62,0.001997232437133789,20,20,102
6,643801275,True,2209,805,0.028922080993652344,22,22,1289
7,346257081,True,149,56,0.0009951591491699219,20,20,94
8,687304152,True,332,124,0.003603696823120117,22,22,203
9,046187325,True,1466,546,0.022555828094482422,24,24,872
10,253641870,True,1068,396,0.01592564582824707,22,22,635
